p,m,k,n,fp_rate,avg_query_us,insert_us_per,mem_delta_MB,approx_bits_bytes
0.001000,12939829,8,900000,0.001240,0.728,0.569,0.217,1617480
0.001000,12939829,10,900000,0.000890,1.069,0.522,0.000,1617480
0.001000,12939829,12,900000,0.000930,0.636,0.371,0.000,1617480
0.010000,8626553,5,900000,0.011130,0.438,0.313,0.000,1078320
0.010000,8626553,7,900000,0.009920,0.949,0.644,0.000,1078320
0.010000,8626553,9,900000,0.011180,0.449,0.792,0.000,1078320
0.050000,5611702,2,900000,0.074450,1.222,0.273,0.000,701464
0.050000,5611702,4,900000,0.050250,0.254,0.331,0.000,701464
0.050000,5611702,6,900000,0.054600,0.526,0.222,0.000,701464
0.001000,12939829,8,900000,0.001240,1.173,0.431,0.203,1617480
0.001000,12939829,10,900000,0.000890,1.432,0.812,0.000,1617480
0.001000,12939829,12,900000,0.000930,1.216,0.528,0.000,1617480
0.010000,8626553,5,900000,0.011130,0.950,0.344,0.000,1078320
0.010000,8626553,7,900000,0.009920,1.391,0.545,0.000,1078320
0.010000,8626553,9,900000,0.011180,1.172,0.502,0.000,1078320
0.050000,5611702,2,900000,0.074450,0.806,0.454,0.000,701464
0.050000,5611702,4,900000,0.050250,1.041,0.489,0.000,701464
0.050000,5611702,6,900000,0.054600,0.535,0.501,0.000,701464
0.001000,12939829,8,900000,0.001240,1.395,0.405,0.203,1617480
0.001000,12939829,10,900000,0.000890,0.611,0.498,0.000,1617480
0.001000,12939829,12,900000,0.000930,1.217,0.626,0.000,1617480
0.010000,8626553,5,900000,0.011130,1.325,0.390,0.005,1078320
0.010000,8626553,7,900000,0.009920,0.897,0.534,0.000,1078320
0.010000,8626553,9,900000,0.011180,1.022,0.322,0.000,1078320
0.050000,5611702,2,900000,0.074450,0.578,0.244,0.000,701464
0.050000,5611702,4,900000,0.050250,0.725,0.385,0.000,701464
0.050000,5611702,6,900000,0.054600,1.015,0.693,0.000,701464
